Id,FullName,KnownName,Nationality,ShirtNumber,PreferredFoot,TeamId,PhotoUrl,Position,CreatedAt,UpdatedAt
3437,Francis Joseph Coquelin,Francis Joseph Coquelin,France,19,Left,5,,CAM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3457,Michy Batshuayi Tunga,Michy Batshuayi Tunga,Belgium,23,Left,5,,LW,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3477,Álvaro Borja Morata Martín,Álvaro Borja Morata Martín,Spain,9,Right,5,,CF,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3486,Fernando Llorente Torres,Fernando Llorente Torres,Spain,24,Right,5,,CF,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3497,Vicente Iborra De La Fuente,Vicente Iborra De La Fuente,Spain,10,Left,5,,CDM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3498,Ignacio Monreal Eraso,Ignacio Monreal Eraso,Spain,20,Left,5,,LB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3501,Philippe Coutinho Correia,Philippe Coutinho Correia,Brazil,14,Right,5,,AM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3508,Sandro Ramírez Castillo,Sandro Ramírez Castillo,Spain,6,Right,5,,CF,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3509,Thibaut Courtois,Thibaut Courtois,Belgium,1,Left,5,,GK,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3513,Oliver Burke,Oliver Burke,Scotland,24,Right,5,,CF,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3515,Alberto Moreno Pérez,Alberto Moreno Pérez,Spain,18,Left,5,,LW,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3551,Karl Brillant Toko Ekambi,Karl Brillant Toko Ekambi,Cameroon,17,Right,5,,RF,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3553,Lacina Traoré,Lacina Traoré,Côte d'Ivoire,8,Right,5,,CF,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3601,Charly Musonda Junior,Charly Musonda Junior,Belgium,7,Right,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3610,Roque Mesa Quevedo,Roque Mesa Quevedo,Spain,17,Right,5,,CM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3625,Sofiane Boufal,Sofiane Boufal,Morocco,19,Left,5,,LW,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3637,Grzegorz Krychowiak,Grzegorz Krychowiak,Poland,4,Right,5,,DM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3638,Shkodran Mustafi,Shkodran Mustafi,Germany,5,Right,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3666,Robert Kenedy Nunes do Nascimento,Robert Kenedy Nunes do Nascimento,Brazil,24,Left,5,,LW,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3721,Etienne Capoue,Etienne Capoue,France,25,Right,5,,DM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3726,Gerard Deulofeu Lázaro,Gerard Deulofeu Lázaro,Spain,16,Right,5,,CF,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3804,Ferland Mendy,Ferland Mendy,France,23,Both,5,,ST,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3810,Shinji Okazaki,Shinji Okazaki,Japan,12,Right,5,,CF,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3863,Ousseynou Cissé,Ousseynou Cissé,Mali,6,Right,5,,DM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3990,Jesé Rodríguez Ruiz,Jesé Rodríguez Ruiz,Spain,10,Left,5,,LW,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3991,Allan Romeo Nyom,Allan Romeo Nyom,Cameroon,12,Left,5,,LB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
4265,Oussama Tannane,Oussama Tannane,Morocco,10,Right,5,,AM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
4267,Mouctar Diakhaby,Mouctar Diakhaby,Guinea,12,Right,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
4320,Neymar da Silva Santos Junior,Neymar da Silva Santos Junior,Brazil,11,Both,5,,LW,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
4324,Daniel Alves da Silva,Daniel Alves da Silva,Brazil,6,Right,5,,RB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
4345,Lucas Ariel Ocampos,Lucas Ariel Ocampos,Argentina,5,Left,5,,LW,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
4346,Gilbert Gianelli Imbula Wanga,Gilbert Gianelli Imbula Wanga,"Congo, (Kinshasa)",12,Right,5,,ST,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
4353,Aymeric Laporte,Aymeric Laporte,Spain,4,Left,5,,RW,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
4367,Gonçalo Manuel Ganchinho Guedes,Gonçalo Manuel Ganchinho Guedes,Portugal,7,Left,5,,LW,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
4406,Aymen Abdennour,Aymen Abdennour,Tunisia,23,Right,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
4407,Sanjin Prcić,Sanjin Prcić,Bosnia and Herzegovina,8,Right,5,,CM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
4418,Matheus Dória Macedo,Matheus Dória Macedo,Brazil,12,Left,5,,RF,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
4443,Paul Baysse,Paul Baysse,France,22,Right,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
4445,Jules Koundé,Jules Koundé,France,12,Right,5,,RB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
4447,Martin Braithwaite Christensen,Martin Braithwaite Christensen,Denmark,9,Right,5,,CAM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
4498,Jean-Sylvain Claude Babin,Jean-Sylvain Claude Babin,Martinique,3,Right,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
4546,Dimitri Foulquier,Dimitri Foulquier,Guadeloupe,2,Right,5,,RB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
4551,Omer Atzili,Omer Atzili,Israel,15,Right,5,,RW,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
4558,Pape Cheikh Diop Gueye,Pape Cheikh Diop Gueye,Senegal,24,Right,5,,CM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
4629,José Ramiro Funes Mori,José Ramiro Funes Mori,Argentina,6,Right,5,,CM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
4691,Claudio Andrés Bravo Muñoz,Claudio Andrés Bravo Muñoz,Chile,25,Right,5,,GK,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
4711,Pablo Hernández Domínguez,Pablo Hernández Domínguez,Spain,14,Right,5,,RW,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
4712,Samuel Sáiz Alonso,Samuel Sáiz Alonso,Spain,11,Right,5,,AM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
4741,Juan Rafael Fuentes Hernández,Juan Rafael Fuentes Hernández,Spain,16,Left,5,,LB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
4788,Jesús Gámez Duarte,Jesús Gámez Duarte,Spain,18,Right,5,,RB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
4909,Jeremie Boga,Jeremie Boga,Côte d'Ivoire,10,Left,5,,LW,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
4926,Francisco Román Alarcón Suárez,Francisco Román Alarcón Suárez,Spain,22,Right,5,,AM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5109,Paulo Dino Gazzaniga,Paulo Dino Gazzaniga,Argentina,1,Right,5,,GK,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5186,Denis Cheryshev,Denis Cheryshev,Russia,17,Left,5,,LW,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5194,Fyodor Smolov,Fyodor Smolov,Russia,9,Right,5,,ST,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5198,Diego da Silva Costa,Diego da Silva Costa,Spain,19,Right,5,,CF,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5199,Jorge Resurrección Merodio,Jorge Resurrección Merodio,Spain,6,Right,5,,CM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5200,Lucas Vázquez Iglesias,Lucas Vázquez Iglesias,Spain,17,Right,5,,RB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5201,Sergio Ramos García,Sergio Ramos García,Spain,4,Right,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5202,José Ignacio Fernández Iglesias,José Ignacio Fernández Iglesias,Spain,6,Right,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5203,Sergio Busquets i Burgos,Sergio Busquets i Burgos,Spain,5,Right,5,,CDM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5207,Cristiano Ronaldo dos Santos Aveiro,Cristiano Ronaldo dos Santos Aveiro,Portugal,7,Right,5,,CF,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5211,Jordi Alba Ramos,Jordi Alba Ramos,Spain,18,Left,5,,LB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5213,Gerard Piqué Bernabéu,Gerard Piqué Bernabéu,Spain,3,Right,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5214,William Silva de Carvalho,William Silva de Carvalho,Portugal,14,Left,5,,CDM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5216,Andrés Iniesta Luján,Andrés Iniesta Luján,Spain,8,Right,5,,CM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5217,Iago Aspas Juncal,Iago Aspas Juncal,Spain,10,Left,5,,CF,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5218,André Miguel Valente Silva,André Miguel Valente Silva,Portugal,12,Right,5,,CF,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5246,Luis Alberto Suárez Díaz,Luis Alberto Suárez Díaz,Uruguay,9,Right,5,,CF,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5249,Diego Roberto Godín Leal,Diego Roberto Godín Leal,Uruguay,2,Right,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5259,José María Giménez de Vargas,José María Giménez de Vargas,Uruguay,2,Right,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5266,Lucas Torreira Di Pascua,Lucas Torreira Di Pascua,Uruguay,5,Left,5,,CM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5456,Mateo Kovačić,Mateo Kovačić,Croatia,23,Right,5,,CM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5461,Šime Vrsaljko,Šime Vrsaljko,Croatia,24,Right,5,,RB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5463,Luka Modrić,Luka Modrić,Croatia,10,Right,5,,CM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5466,Oghenekaro Etebo,Oghenekaro Etebo,Nigeria,5,Right,5,,DM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5470,Ivan Rakitić,Ivan Rakitić,Croatia,10,Right,5,,CM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5477,Ousmane Dembélé,Ousmane Dembélé,France,11,Both,5,,RW,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5484,Lucas Hernández Pi,Lucas Hernández Pi,France,21,Right,5,,RF,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5485,Raphaël Varane,Raphaël Varane,France,5,Right,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5487,Antoine Griezmann,Antoine Griezmann,France,7,Left,5,,CF,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5492,Samuel Yves Umtiti,Samuel Yves Umtiti,France,23,Left,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5503,Lionel Andrés Messi Cuccittini,Lionel Andrés Messi Cuccittini,Argentina,10,Left,5,,LB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5504,Éver Maximiliano David Banega,Éver Maximiliano David Banega,Argentina,10,Right,5,,CM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5506,Javier Alejandro Mascherano,Javier Alejandro Mascherano,Argentina,14,Right,5,,DM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5516,Pione Sisto Ifolo Emirmija,Pione Sisto Ifolo Emirmija,Denmark,11,Left,5,,LW,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5521,Luis Jan Piers Advíncula Castrillón,Luis Jan Piers Advíncula Castrillón,Peru,17,Right,5,,RB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5523,Renato Fabrizio Tapia Cortijo,Renato Fabrizio Tapia Cortijo,Peru,14,Right,5,,DM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5534,Simon Thorup Kjær,Simon Thorup Kjær,Denmark,4,Right,5,,ST,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5537,Fabian Lukas Schär,Fabian Lukas Schär,Switzerland,24,Left,5,,LB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5539,Carlos Henrique Casimiro,Carlos Henrique Casimiro,Brazil,14,Right,5,,RW,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5542,José Paulo Bezzera Maciel Júnior,José Paulo Bezzera Maciel Júnior,Brazil,15,Right,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5552,Marcelo Vieira da Silva Júnior,Marcelo Vieira da Silva Júnior,Brazil,12,Left,5,,LB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5556,Miguel Arturo Layún Prado,Miguel Arturo Layún Prado,Mexico,3,Right,5,,RWB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5560,Carlos Alberto Vela Garrido,Carlos Alberto Vela Garrido,Mexico,11,Right,5,,RW,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5563,José Andrés Guardado Hernández,José Andrés Guardado Hernández,Mexico,18,Left,5,,LW,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5573,Héctor Alfredo Moreno Herrera,Héctor Alfredo Moreno Herrera,Mexico,6,Right,5,,RB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5574,Toni Kroos,Toni Kroos,Germany,8,Right,5,,CM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5575,Héctor Miguel Herrera López,Héctor Miguel Herrera López,Mexico,16,Left,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5577,Francisco Guillermo Ochoa Magaña,Francisco Guillermo Ochoa Magaña,Mexico,13,Right,5,,CF,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5582,Celso Borges Mora,Celso Borges Mora,Costa Rica,22,Left,5,,CM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5588,Antonio Rukavina,Antonio Rukavina,Serbia,22,Right,5,,RM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5597,Keylor Navas Gamboa,Keylor Navas Gamboa,Costa Rica,1,Right,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5598,Óscar Esau Duarte Gaitán,Óscar Esau Duarte Gaitán,Costa Rica,6,Left,5,,LB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5628,José Luis Rodríguez Francis,José Luis Rodríguez Francis,Panama,38,Right,5,,CM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5633,Yannick Ferreira Carrasco,Yannick Ferreira Carrasco,Belgium,21,Left,5,,LWB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5671,Alfred John Momar N''Diaye,Alfred John Momar N''Diaye,Senegal,4,Left,5,,CM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5674,Moussa Wagué,Moussa Wagué,Senegal,16,Left,5,,LF,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5678,Jefferson Andrés Lerma Solís,Jefferson Andrés Lerma Solís,Colombia,8,Right,5,,RB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5685,Carlos Alberto Sánchez Moreno,Carlos Alberto Sánchez Moreno,Colombia,8,Right,5,,CDM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5687,Takashi Inui,Takashi Inui,Japan,22,Right,5,,RM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5688,Carlos Arturo Bacca Ahumada,Carlos Arturo Bacca Ahumada,Colombia,9,Left,5,,LW,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5691,Johan Andrés Mojica Palacio,Johan Andrés Mojica Palacio,Colombia,25,Right,5,,RWB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5693,Gaku Shibasaki,Gaku Shibasaki,Japan,10,Right,5,,RWB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5695,James David Rodríguez Rubio,James David Rodríguez Rubio,Colombia,10,Right,5,,CDM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5696,Santiago Arias Naranjo,Santiago Arias Naranjo,Colombia,4,Right,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5718,Rodrigo Moreno Machado,Rodrigo Moreno Machado,Spain,19,Right,5,,CDM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5719,Marco Asensio Willemsen,Marco Asensio Willemsen,Spain,11,Right,5,,CM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5721,Daniel Carvajal Ramos,Daniel Carvajal Ramos,Spain,2,Left,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5723,Gelson Dany Batalha Martins,Gelson Dany Batalha Martins,Portugal,18,Right,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5724,Fayçal Fajr,Fayçal Fajr,Morocco,21,Left,5,,LW,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
5725,Mehdi Carcela-González,Mehdi Carcela-González,Morocco,16,Left,5,,LW,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
